                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2305,                 3.4078,                 1.2686,                0.03255,                0.31364,                0.12986,                0.09043,                 1.1424,                 3.5964,                 1.1589,             0.00020706,             0.00020706,             0.00020706
                      2,                 1.1928,                 2.0781,                 1.2225,                0.89347,                0.09967,                0.20273,                0.12829,                 1.3608,                 3.1918,                  1.366,             0.00041709,             0.00041709,             0.00041709
                      3,                 1.2082,                 1.7287,                 1.2465,                0.54722,                0.34951,                 0.2918,                0.17894,                 1.2738,                 2.0079,                 1.2959,             0.00062288,             0.00062288,             0.00062288
                      4,                 1.1948,                 1.5492,                 1.2139,                0.54865,                 0.3809,                0.39274,                0.23827,                 1.2703,                 1.7268,                 1.2648,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1901,                 1.4752,                 1.2285,                0.62839,                0.34401,                0.40506,                0.24056,                 1.3185,                 1.8633,                 1.2951,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.1454,                 1.4005,                 1.1888,                0.56214,                0.46611,                0.41056,                0.24772,                 1.2668,                 1.5852,                 1.3004,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.1696,                 1.3821,                 1.2079,                0.61391,                0.43064,                0.45122,                0.26633,                 1.2861,                 1.5539,                 1.2741,             0.00067159,             0.00067159,             0.00067159
                      8,                  1.139,                 1.3426,                 1.1861,                0.55802,                  0.486,                0.45769,                0.27844,                 1.1883,                 1.4081,                 1.2261,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.1228,                 1.2964,                 1.1685,                0.60642,                0.48042,                0.46848,                0.29189,                 1.1916,                 1.4753,                 1.2295,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.1038,                 1.2385,                 1.1611,                0.66198,                0.42243,                0.48045,                0.30556,                 1.1731,                 1.3756,                 1.2172,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.0732,                 1.1929,                 1.1405,                0.59798,                0.50005,                0.50281,                0.30988,                 1.1712,                 1.3276,                 1.2124,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0387,                 1.1525,                 1.1494,                0.66864,                0.49542,                0.52607,                0.32282,                 1.1616,                 1.2994,                 1.2048,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.0637,                 1.2024,                 1.1485,                0.62892,                0.49038,                0.48153,                0.29541,                 1.1814,                 1.3424,                 1.2501,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.0391,                 1.1294,                 1.1142,                0.62342,                0.51352,                0.49102,                0.28591,                 1.2235,                 1.3742,                 1.2415,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.0454,                 1.1095,                 1.1262,                0.63849,                0.44856,                0.48528,                0.29488,                 1.1889,                 1.3164,                 1.1946,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.0547,                 1.1181,                 1.1304,                0.70366,                0.44232,                0.49683,                0.29841,                 1.1855,                 1.2866,                 1.2166,             0.00060797,             0.00060797,             0.00060797
                     17,                  1.047,                 1.1149,                 1.1369,                0.60056,                0.51152,                0.50842,                0.29894,                 1.1791,                 1.2454,                 1.2275,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.0466,                 1.0808,                 1.1166,                0.61407,                 0.4949,                0.46397,                0.28021,                 1.2638,                 1.3341,                 1.2919,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.0309,                 1.0362,                 1.1082,                0.67997,                0.51141,                0.51347,                0.31789,                 1.1939,                 1.2954,                  1.247,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.0199,                 1.0258,                 1.1035,                0.65328,                0.47321,                 0.5216,                 0.3222,                 1.1453,                 1.2133,                 1.1947,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.0013,                 1.0203,                 1.1122,                0.65944,                 0.5193,                0.52172,                0.31338,                  1.177,                 1.1914,                 1.2208,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.0067,                 1.0417,                 1.1135,                0.63179,                0.52833,                0.52091,                0.31752,                 1.1321,                 1.2636,                 1.1888,             0.00056556,             0.00056556,             0.00056556
                     23,                0.97288,                0.98679,                  1.092,                0.66693,                0.47469,                0.52411,                0.32572,                  1.189,                 1.2467,                 1.2218,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.0001,                 1.0075,                 1.1003,                0.68863,                0.52235,                0.54694,                0.33619,                 1.1673,                 1.1977,                 1.2196,             0.00055142,             0.00055142,             0.00055142
                     25,                0.98723,                0.98372,                 1.0953,                  0.707,                0.52753,                0.55703,                0.34346,                 1.1811,                 1.1289,                 1.2119,             0.00054435,             0.00054435,             0.00054435
