                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2045,                 3.6743,                  2.468,                0.88469,                0.02348,                0.00786,                0.00217,                 3.3938,                 3.1591,                 2.4528,             0.00025497,             0.00025497,             0.00025497
                      2,                 2.9426,                 3.1068,                 2.2581,                0.63521,                0.04784,                0.01025,                0.00296,                 3.2374,                 3.1103,                 2.4271,             0.00050624,             0.00050624,             0.00050624
                      3,                 2.8527,                  3.016,                  2.238,                0.63325,                0.05269,                0.00878,                0.00265,                 3.1852,                  3.088,                 2.3795,             0.00075244,             0.00075244,             0.00075244
                      4,                 2.8074,                      3,                 2.2206,                0.38076,                0.07951,                0.01265,                0.00426,                 3.1071,                 3.0555,                  2.367,             0.00074616,             0.00074616,             0.00074616
                      5,                 2.7618,                  2.999,                 2.2063,                0.51275,                 0.0157,                0.00964,                0.00275,                 3.0795,                 3.0138,                 2.4046,             0.00073855,             0.00073855,             0.00073855
                      6,                 2.7391,                 2.9569,                 2.1774,                0.51357,                0.02222,                0.01272,                0.00374,                 3.1503,                  3.035,                 2.3644,             0.00073093,             0.00073093,             0.00073093
                      7,                 2.7001,                 2.9623,                 2.1658,                0.51298,                0.03872,                0.01239,                0.00383,                 2.9498,                 3.0033,                 2.3444,             0.00072332,             0.00072332,             0.00072332
                      8,                 2.7026,                 2.9637,                 2.1642,                0.63489,                0.02907,                0.01188,                 0.0037,                 2.9919,                 2.9794,                 2.3562,             0.00071571,             0.00071571,             0.00071571
                      9,                 2.6773,                 2.9564,                 2.1595,                0.50978,                0.03705,                0.01345,                0.00451,                 2.9627,                 3.0344,                 2.2989,              0.0007081,              0.0007081,              0.0007081
                     10,                 2.6553,                 2.9382,                 2.1434,                0.51711,                0.05132,                0.01387,                 0.0041,                 2.9413,                 2.9907,                 2.3037,             0.00070048,             0.00070048,             0.00070048
                     11,                 2.6408,                 2.9228,                  2.134,                0.51256,                0.03419,                0.01386,                 0.0042,                  2.933,                  2.985,                 2.3079,             0.00069287,             0.00069287,             0.00069287
                     12,                 2.6501,                 2.9324,                 2.1343,                0.51396,                0.03815,                0.01331,                0.00425,                  3.008,                 3.0484,                 2.3889,             0.00068526,             0.00068526,             0.00068526
                     13,                 2.6302,                 2.9238,                 2.1244,                0.55582,                0.03938,                 0.0146,                0.00485,                 2.9153,                 2.9783,                 2.3028,             0.00067764,             0.00067764,             0.00067764
                     14,                 2.6274,                 2.9203,                 2.1181,                 0.6435,                0.02365,                0.01629,                0.00486,                  2.955,                 3.0181,                  2.317,             0.00067003,             0.00067003,             0.00067003
                     15,                 2.6138,                  2.905,                  2.109,                0.51528,                0.02448,                0.01274,                0.00395,                 2.8787,                 3.0093,                  2.303,             0.00066242,             0.00066242,             0.00066242
